"","year","wgr","masters_finish","total_score","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","sg_total","points_gained","m_cut","top_25","new_score","m_play"
"179",2009,30,38,294,8,5,1,70.414,85,22.95,55.4,308.3,4.61,66.07,3572.583,28.88,55.95,0.031,0.822,0.853,81.589,"1","0",294,"1"
"180",2010,12,38,289,12,7,2,70.135,83,21.37,56.35,308.5,4.58,67.95,3598.333,29.37,55.81,0.112,0.869,0.979,72.378,"1","0",289,"1"
"181",2012,19,13,287,12,9,1,69.564,70,20.11,56.3,310.2,4.56,65.75,2596,28.64,60.29,0.185,1.324,1.509,73.696,"1","1",287,"1"
"182",2013,10,99,151,30,6,1,70.115,71,27.91,53.36,305.8,4.61,66.75,2553.333,29.4,53.22,-0.101,0.906,0.805,86.006,"0","0",311,"1"
"183",2014,7,6,279,2,7,1,69.546,58,18.38,57.18,311,4.53,68.03,2133,28.74,59.76,0.082,1.249,1.331,124.227,"1","1",279,"1"
"184",2015,9,4,287,16,11,1,69.585,75,24.61,55.53,317.7,4.5,67.05,3178.167,28.47,57.85,0.128,1.326,1.455,51.457,"1","1",287,"1"
"185",2017,1,10,281,11,8,4,69.549,77,20.37,56.44,314.4,4.52,69.61,2707.333,29,62.63,0.1,1.872,1.972,100.91,"1","1",281,"1"
"186",2016,33,51,300,46,3,1,70.637,93,21.65,66.93,294.3,4.66,68.52,3939.333,29.67,55.1,-0.056,0.534,0.479,17.108,"1","0",300,"0"
"187",2014,117,51,293,126,3,0,70.829,88,14.12,58.48,283.3,4.72,63.07,4284.333,28.78,58.8,0.282,-0.259,0.023,7.52,"1","0",293,"0"
"188",2006,5,99,154,33,8,0,69.756,69,20.67,57.62,295.1,4.58,63.72,2525.25,28.72,59.33,-0.007,1.37,1.341,93.45,"0","0",314,"0"
"189",2007,3,99,148,9,5,0,69.294,59,21.52,56.99,297.9,4.64,64.66,2162.333,28.95,60.16,-0.031,1.609,1.578,71.864,"0","0",308,"1"
"190",2008,16,99,146,133,5,1,69.898,51,14.53,56.88,291.6,4.74,61.33,1692.5,29.28,56.61,-0.509,1.12,0.611,34.658,"0","0",306,"1"
"191",2009,7,18,287,71,7,0,70.212,70,20.56,64.87,291.2,4.62,66.08,2657.417,29.3,60.05,-0.394,1.315,0.921,158.774,"1","1",287,"1"
"192",2010,13,47,293,71,7,2,69.843,72,19.08,60.16,288.4,4.63,67.86,2671.667,28.99,61.23,0.33,0.992,1.322,16.728,"1","0",293,"1"
"193",2012,24,13,287,89,5,1,70.131,80,20.67,56.71,294.6,4.7,66.52,3288.25,29.4,61.06,-0.05,0.727,0.677,19.038,"1","1",287,"1"
"194",2013,34,99,149,97,1,0,70.491,63,22.4,57.72,289.6,4.62,61.74,2459.75,28.98,58.08,-0.136,0.444,0.308,27.001,"0","0",309,"1"
"195",2014,82,22,286,128,3,0,70.736,85,15.79,53.26,291.2,4.71,61.6,3523.25,28.68,61.36,-0.171,0.654,0.483,14.813,"1","1",286,"1"
"196",2015,219,99,153,167,0,0,71.83,57,20.11,56.79,291.7,4.66,64.52,1979.917,29.79,56.59,-0.609,0.009,-0.6,7.503,"0","0",313,"1"
"197",2016,147,53,308,147,1,0,71.371,66,21.52,52.93,292.8,4.7,61.2,3166.917,28.82,54.66,0.405,-0.428,-0.024,0,"1","0",308,"1"
"198",2016,30,33,293,114,3,0,70.436,64,17.44,63.76,286.7,4.61,64.93,2779.25,29.17,60.4,-0.296,0.859,0.562,29.928,"1","0",293,"0"
"199",2017,27,20,286,8,5,0,69.802,75,21.93,69.8,291.9,4.61,67.22,2886.25,28.91,62.95,-0.017,1.436,1.418,14.601,"1","1",286,"1"
"200",2005,27,3,284,17,4,0,70.502,72,26.83,57.47,296.4,4.63,68.3,2072.167,29.81,54.38,-0.546,1.098,0.553,33.65,"1","1",284,"0"
"201",2006,110,30,301,139,2,0,70.789,52,15.76,54.36,301.5,4.66,65.33,2052.167,30.02,55.13,-0.214,0.551,0.141,0,"1","0",301,"1"
"202",2008,120,99,146,75,3,0,70.758,60,15.82,57.49,299.6,4.6,65.46,2552.583,29.48,58.18,0.043,0.718,0.762,19.427,"0","0",306,"1"
"203",2009,130,6,279,55,4,0,70.664,54,20.48,55.91,297.5,4.63,67.08,1904.75,29.39,52.5,-0.342,0.81,0.468,6.361,"1","1",279,"1"
"204",2005,55,99,157,140,3,1,70.375,102,16.67,75.9,270,4.69,66.17,3630.417,29.47,62.28,0.12,0.48,0.601,0,"0","0",317,"0"
"205",2006,79,99,155,99,3,0,70.556,106,20.07,78.01,272.8,4.74,66.35,3773.083,29.33,60.06,0.096,0.606,0.754,0,"0","0",315,"1"
"206",2011,37,19,288,53,3,1,69.854,92,19.5,60.82,287.4,4.68,63.56,3324.167,28.19,60.62,0.629,0.275,0.904,0,"1","1",288,"0"
