"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","masters_finish","total_score","sg_total","wgr"
"1290",2014,"John Huh","133",2,0,71.24,87,19.25,66.87,283.9,4.76,64.39,3474.667,29.43,57.52,-0.159,-0.01,"99","151",-0.169,"144"
"1291",2015,"John Huh","93",0,0,71.037,102,19.92,69.44,279.8,4.68,64.85,4967.667,28.71,62.6,0.279,-0.191,NA,NA,0.088,"188"
"1292",2016,"John Huh","94",3,0,71.104,86,21.2,68.3,284.7,4.69,66.21,3646.75,29.07,62.09,-0.209,0.158,NA,NA,-0.05,"183"
"1293",2017,"John Huh","105",2,0,70.851,92,14.8,64.09,287.1,4.74,65.78,4094.917,29,63.65,0.124,-0.026,NA,NA,0.099,"197"
"1294",2018,"John Huh","71",2,0,70.718,94,20.08,63.83,287.1,4.67,65.8,4435.167,28.82,57.94,0.167,0.083,NA,NA,0.251,"212"
"1295",2005,"John Huston","83",2,0,71.419,90,23.28,62.34,293.6,4.64,64.02,4614.917,29.05,56.37,-0.214,0.147,NA,NA,-0.067,"129"
"1296",2006,"John Huston","124",1,0,71.403,74,20.96,58.74,292,4.71,62.58,3881.75,28.92,58.97,-0.111,-0.168,NA,NA,-0.284,"163"
"1297",2008,"John Huston","15",1,0,70.807,56,20.26,65.88,291.5,4.71,70.3,2140.25,29.52,57.91,0.189,0.457,NA,NA,0.646,"31"
"1298",2007,"John Mallinger","140",4,0,71.085,96,21.63,69.91,280.9,4.71,62.96,4507.417,28.92,61.88,0.068,-0.068,NA,NA,0,"15"
"1299",2008,"John Mallinger","97",4,0,70.479,95,17.24,69.39,279,4.78,60.82,4206.75,28.14,58.51,0.312,0.064,NA,NA,0.376,"130"
"1300",2009,"John Mallinger","106",4,0,70.73,90,17.19,68.82,279.1,4.68,64.79,3419.5,28.79,57.8,0.08,0.278,NA,NA,0.358,"189"
"1301",2010,"John Mallinger","117",1,0,71.27,78,16.27,69.34,280.4,4.69,67.11,2747.417,29.33,58.67,0.051,-0.228,NA,NA,-0.175,"153"
"1302",2012,"John Mallinger","107",3,0,70.699,74,16.49,67.93,281.4,4.67,66.51,3035.583,29.39,58.77,-0.086,0.305,NA,NA,0.218,"155"
"1303",2007,"John Merrick","101",1,0,71.265,92,20.36,61.41,297.1,4.67,69.13,4246.417,30.09,54.6,-0.409,0.385,NA,NA,-0.025,"33"
"1304",2008,"John Merrick","52",4,0,70.546,98,17.38,65.23,299,4.63,67.72,3841.583,29.96,54.49,-0.418,0.399,NA,NA,-0.019,"256"
"1305",2009,"John Merrick","99",4,0,70.936,91,18.25,61.47,296.9,4.73,64.93,3747.833,29.16,54.58,-0.016,-0.248,"6","280",-0.264,"124"
"1306",2010,"John Merrick","62",1,0,71.102,109,23.43,66.71,291.4,4.62,70.24,4282.417,29.94,56.93,-0.126,0.144,"99","149",0.019,"184"
"1307",2011,"John Merrick","29",1,0,70.423,71,24.19,67.31,297.2,4.63,68.69,2983.833,29.62,58.03,0.058,0.372,NA,NA,0.43,"7"
"1308",2012,"John Merrick","71",2,0,70.701,83,26.22,64.46,293.3,4.64,69.13,3758.333,30.01,54.9,-0.193,0.385,NA,NA,0.191,"11"
"1309",2013,"John Merrick","79",2,1,70.736,79,15.74,60.51,284.3,4.67,66.53,3017.167,29.27,56.51,0.063,0.454,"99","151",0.517,"80"
"1310",2014,"John Merrick","119",0,0,71.852,87,17.94,68.62,285.3,4.71,68.07,3575.75,30.12,50.31,-0.568,0.051,NA,NA,-0.517,"110"
"1311",2015,"John Merrick","137",0,0,71.334,78,19.91,68.32,285,4.67,67.64,2759.583,29.65,57.31,-0.775,0.42,NA,NA,-0.356,"24"
"1312",2014,"John Peterson","168",0,0,71.47,62,20.33,64,288.1,4.74,65.56,3246.083,29.9,55.91,-0.819,0.34,NA,NA,-0.48,"180"
"1313",2015,"John Peterson","71",0,0,70.735,84,23.16,67.52,288.1,4.66,68.32,4051.333,29.21,63.47,-0.184,0.435,NA,NA,0.251,"211"
"1314",2008,"John Riegger","67",0,0,71.16,73,22.96,69.09,290.1,4.65,69.49,3058.417,29.87,58.7,-0.423,0.409,NA,NA,-0.014,"117"
"1315",2005,"John Rollins","52",1,0,70.877,97,18.24,63.68,294.4,4.62,65.73,4891.25,29.49,53.92,-0.126,0.547,NA,NA,0.421,"148"
"1316",2006,"John Rollins","34",4,1,71.113,93,20.28,64.22,295.5,4.55,66.12,4137.833,29.15,52.97,0.102,0.248,NA,NA,0.25,"98"
"1317",2007,"John Rollins","40",4,0,70.419,102,15.31,64.81,290.4,4.67,63.64,4679,28.97,59,0.104,0.413,"20","298",0.517,"46"
"1318",2008,"John Rollins","112",2,0,71.057,94,17.87,67.94,288.9,4.73,63.48,4572.333,29.24,59.39,0.105,0.199,"99","150",0.303,"84"
"1319",2009,"John Rollins","77",4,1,71.243,92,19.26,65.85,296.5,4.68,64.2,4830.833,29.03,58.2,-0.001,0.012,NA,NA,0.011,"81"
"1320",2010,"John Rollins","48",2,0,70.728,81,22.67,64.58,295.5,4.66,68.18,3751.75,29.59,59.27,-0.216,0.71,"99","151",0.497,"93"
"1321",2011,"John Rollins","22",4,0,70.584,85,18.22,66.84,296.7,4.61,69.08,3532.917,29.8,56.28,-0.101,0.773,NA,NA,0.671,"206"
"1322",2012,"John Rollins","75",5,0,70.618,81,16.3,64.25,295.4,4.65,66.16,3745.333,29.48,58,-0.034,0.465,NA,NA,0.431,"103"
"1323",2013,"John Rollins","49",2,0,70.779,77,22.17,58.56,295.6,4.66,67.43,3389.667,29.36,57.71,-0.243,0.47,NA,NA,0.227,"127"
"1324",2014,"John Rollins","175",0,0,71.932,84,9.62,59.8,290.1,4.76,64.86,3623.167,30.06,52.77,-0.252,-0.395,NA,NA,-0.647,"242"
"1325",2005,"John Senden","23",3,0,70.688,101,24.49,65.99,291,4.63,68.01,4645.667,29.55,58.42,-0.046,0.599,NA,NA,0.553,"164"
"1326",2006,"John Senden","13",3,1,70.478,96,24.89,64.95,296.2,4.64,71.15,3684.25,29.84,58.18,-0.053,0.938,NA,NA,0.85,"104"
"1327",2007,"John Senden","59",5,0,70.566,97,20.07,65.91,294.2,4.61,70.33,3881.833,30.24,56.56,-0.25,0.778,NA,NA,0.528,"53"
"1328",2008,"John Senden","53",3,0,70.424,93,21.01,68.2,288.8,4.71,69.08,3689.083,30.14,54.69,-0.313,0.899,"99","151",0.586,"49"
"1329",2009,"John Senden","11",7,0,70.057,100,14.62,64.83,294.2,4.54,70.89,4067.917,29.83,56.87,0.038,1.021,NA,NA,1.06,"105"
"1330",2010,"John Senden","53",2,0,70.618,103,21.37,67.22,290.2,4.68,72.49,3832.167,30.08,57.65,-0.139,0.749,"99","148",0.608,"74"
"1331",2011,"John Senden","37",3,0,70.199,94,18.11,66.82,293.3,4.65,70.86,4154.667,29.84,54.77,0.302,0.665,NA,NA,0.967,"98"
"1332",2012,"John Senden","13",5,0,70.05,81,22.89,65.93,291,4.62,68.59,3495.333,29.44,57.37,0.039,0.96,"99","150",1,"29"
"1333",2013,"John Senden","152",0,0,70.97,79,21.1,60.57,289.3,4.65,65.95,3213.417,29.96,53.97,-0.138,0.216,"35","291",0.078,"48"
"1334",2014,"John Senden","23",5,1,70.27,99,20.82,64.25,288.9,4.58,67.85,3980,29.17,60.21,0.476,0.328,"8","288",0.805,"58"
"1335",2015,"John Senden","74",3,0,71.09,80,27.65,66.6,290.2,4.65,67.26,2947.083,29.53,55.2,-0.061,0.142,"38","289",0.082,"64"
"1336",2016,"John Senden","81",1,0,70.717,88,23,60.07,289.7,4.67,68.86,4055.833,29.48,59.13,0.329,0.18,NA,NA,0.51,"100"
"1337",2007,"Johnson Wagner","126",2,0,71.144,97,20.07,64.18,285.5,4.64,67.75,4855,29.79,53.11,-0.229,0.424,NA,NA,0.195,"200"
"1338",2008,"Johnson Wagner","186",1,1,71.153,83,18.12,61.02,283.2,4.7,61.6,3882.25,29.06,57.14,0.141,-0.163,"36","295",-0.022,"41"
"1339",2009,"Johnson Wagner","130",1,0,71.312,81,19.38,64.42,288.4,4.67,65.64,4069,29.28,57.49,0.04,-0.179,NA,NA,-0.139,"166"
"1340",2010,"Johnson Wagner","111",2,0,71.113,85,19.75,62.59,282.4,4.73,68.24,3254.417,29.52,58.1,0.065,-0.16,NA,NA,-0.095,"40"
"1341",2011,"Johnson Wagner","133",1,1,70.654,81,18.14,67.35,282.2,4.71,67.17,3588.667,29.56,57.8,0.427,-0.37,NA,NA,0.057,"185"
"1342",2012,"Johnson Wagner","114",4,1,70.899,88,17.83,62.32,284,4.67,65.91,4212.333,29.4,56.85,0.346,0.039,"99","153",0.385,"61"
"1343",2013,"Johnson Wagner","177",2,0,72.013,64,12.24,58.69,278.6,4.83,64.35,2946.833,29.82,56.36,0.271,-1.217,NA,NA,-0.946,"129"
"1344",2014,"Johnson Wagner","166",1,0,71.444,69,14.84,56.95,287.1,4.71,64.1,3239.833,29.29,58.33,0.05,-0.616,NA,NA,-0.565,"298"
"1345",2015,"Johnson Wagner","105",3,0,70.807,68,21.56,62.11,290.7,4.67,68.95,2479.917,29.37,59.47,0.203,-0.108,NA,NA,0.095,"131"
"1346",2016,"Johnson Wagner","64",3,0,70.781,86,15.7,61.13,289.4,4.66,69.38,3846.417,29.37,57.81,0.273,0.095,NA,NA,0.368,"229"
"1347",2017,"Johnson Wagner","123",2,0,71.429,71,17.74,63.18,288.1,4.72,66.93,2862.083,29.54,55.73,0.12,-0.456,NA,NA,-0.336,"229"
"1348",2018,"Johnson Wagner","53",0,0,70.758,75,26.21,64.25,286.1,4.62,67.87,2399.667,28.65,65.41,0.623,0.092,NA,NA,0.715,"104"
"1349",2015,"Jon Curran","130",5,0,70.849,83,21.29,67.46,273.5,4.72,66.39,2910.25,29.28,61.72,-0.028,-0.059,NA,NA,-0.088,"197"
"1350",2016,"Jon Curran","123",3,0,71.145,99,19.31,64.35,271.9,4.75,63.02,3721.917,28.28,63.28,0.407,-0.354,NA,NA,0.053,"230"
"1351",2006,"Jon Mills","159",0,0,72.256,68,18.01,57.05,298.2,4.74,62.71,2922.833,29.65,55.76,-0.325,-0.58,NA,NA,-0.994,"59"
"1352",2008,"Jon Mills","163",0,0,71.552,95,18.73,58.38,293.2,4.75,65.71,3950.25,29.94,54.75,-0.287,-0.269,NA,NA,-0.556,"228"
"1353",2017,"Jon Rahm","1",11,1,69.561,90,23.5,58.61,305.8,4.56,68.79,3041.583,28.81,63.74,0.283,1.588,"27","291",1.871,"12"
"1354",2018,"Jon Rahm","12",5,1,69.958,71,27.68,59.2,308.9,4.57,70.12,2448.25,29.14,57.18,-0.151,1.039,"4","277",0.889,"3"
"1355",2012,"Jonas Blixt","21",5,1,70.244,72,23.24,58.9,286.3,4.61,63.65,3154.083,27.89,61.57,0.804,0.257,NA,NA,1.062,"233"
"1356",2013,"Jonas Blixt","159",2,1,71.11,76,20.47,56.54,283.7,4.71,60.89,3354.833,28.39,61.5,0.312,-0.715,NA,NA,-0.403,"99"
"1357",2014,"Jonas Blixt","137",1,0,71.581,64,16.57,56.16,286.1,4.74,61.11,2381.333,28.77,58.76,0.303,-0.512,"2","283",-0.209,"54"
"1358",2015,"Jonas Blixt","92",1,0,71.238,78,22.62,60.26,287.6,4.65,62.71,2472.417,28.56,58.57,0.122,-0.562,"28","287",-0.44,"79"
"1359",2016,"Jonas Blixt","57",2,0,71.19,79,20.74,57.79,290.3,4.63,60.96,4360.25,27.99,61.05,0.52,-0.621,NA,NA,-0.101,"125"
"1360",2017,"Jonas Blixt","77",1,1,71.283,74,21.3,60.1,288.8,4.62,61.51,3490.083,28.16,58.56,0.536,-0.877,NA,NA,-0.341,"256"
"1361",2018,"Jonas Blixt","176",0,0,72.134,67,20.3,60.3,293.1,4.73,62.02,2686.583,29.1,56.83,0.244,-0.791,NA,NA,-0.547,"277"
"1362",2005,"Jonathan Byrd","84",1,0,71.16,103,19.52,59.78,297,4.63,64.65,4830.5,29.29,57.78,-0.056,0.248,NA,NA,0.192,"104"
"1363",2006,"Jonathan Byrd","5",5,0,70.19,66,22.64,64.15,298.1,4.61,69.61,2579,29.06,60.94,0.221,0.943,NA,NA,1.166,"110"
"1364",2007,"Jonathan Byrd","17",4,1,70.488,73,23.94,59.84,292,4.56,63.55,3299.333,28.47,58.46,0.296,0.213,NA,NA,0.51,"95"
"1365",2008,"Jonathan Byrd","72",2,0,71.028,88,18.22,67.31,285.3,4.69,63.01,3751.333,28.85,58.13,0.006,0.281,"99","149",0.287,"59"
"1366",2009,"Jonathan Byrd","5",2,0,70.662,89,27.62,66.3,295.9,4.55,70.59,4095.917,29.6,55.56,-0.434,1.067,NA,NA,0.633,"183"
"1367",2010,"Jonathan Byrd","46",4,1,70.437,85,24.14,61.54,290.9,4.61,70,3044.167,29.54,61.66,0.029,0.491,NA,NA,0.524,"134"
"1368",2011,"Jonathan Byrd","66",5,1,70.783,83,22.65,60.33,291.6,4.6,65.65,3151.833,28.9,57.2,0.116,0.354,"99","151",0.469,"59"
"1369",2012,"Jonathan Byrd","104",5,0,70.753,69,22.44,57.88,289.5,4.63,63.64,2781.583,29.12,58.65,0.262,0.244,"27","290",0.506,"56"
"1370",2014,"Jonathan Byrd","123",1,0,71.083,76,21.57,61.58,288.1,4.67,64.89,3188.083,29.1,58.02,-0.271,-0.027,NA,NA,-0.298,"135"
"1371",2015,"Jonathan Byrd","86",0,0,70.83,69,22.93,65.6,287.5,4.69,67.35,2196.5,28.94,64.92,0.084,0.148,NA,NA,0.232,"125"
"1372",2018,"Jonathan Byrd","114",0,0,71.398,70,20,58.59,291.7,4.61,68.19,2221.417,29.5,58.31,-0.106,-0.16,NA,NA,-0.266,"298"
"1373",2005,"Jonathan Kaye","75",3,0,71.155,77,24.66,65.35,290.7,4.65,66.67,3247.25,29.28,56.08,-0.164,0.505,"43","296",0.341,"44"
"1374",2006,"Jonathan Kaye","150",1,0,71.347,95,24.81,65.37,294.6,4.68,68.42,4217.167,29.99,57.55,-0.563,0.495,NA,NA,-0.068,"103"
"1375",2015,"Jonathan Randolph","169",0,0,71.606,72,16.93,55.19,287.2,4.66,64.37,3108.167,29.2,60.8,0.132,-0.85,NA,NA,-0.718,"58"
"1376",2017,"Jonathan Randolph","163",1,0,71.642,68,21.21,62.67,287.2,4.72,62.71,2610.417,28.9,56.82,-0.12,-0.386,NA,NA,-0.506,"165"
"1377",2018,"Jonathan Randolph","180",1,0,71.945,71,16.67,62.18,289.4,4.69,60.43,3628.25,28.63,59.83,0.115,-0.992,NA,NA,-0.877,"285"
"1378",2013,"Jordan Spieth","3",9,1,69.668,82,20.09,67.8,289.4,4.62,66.94,3169.333,28.68,61.07,0.182,1.291,NA,NA,1.473,"219"
"1379",2014,"Jordan Spieth","44",8,0,69.946,102,21.72,58.79,289.7,4.63,62.47,4148.083,27.86,62.39,0.399,0.581,"2","283",0.98,"13"
"1380",2015,"Jordan Spieth","3",15,5,68.938,91,27.46,62.91,291.8,4.59,67.87,2900,27.82,65.03,0.571,1.583,"1","270",2.154,"4"
"1381",2016,"Jordan Spieth","15",8,2,69.52,80,22.87,58.14,295.4,4.54,63.52,2727.667,27.82,63.93,0.758,0.811,"2","286",1.569,"2"
"1382",2017,"Jordan Spieth","3",12,3,68.846,85,25.73,59.48,295,4.59,69.97,2767.333,28.34,61.75,0.339,1.649,"11","287",1.988,"6"
"1383",2018,"Jordan Spieth","14",5,0,69.904,81,21.59,61.55,299.8,4.55,70.47,3105.333,29.09,61.63,-0.034,0.863,"3","275",0.83,"4"
"1384",2005,"José Coceres","169",0,0,72.164,56,12.88,71.88,276.4,4.9,60.49,2992.417,28.48,61.72,-0.306,-0.566,NA,NA,-0.872,"132"
"1385",2007,"José Coceres","157",3,0,70.737,50,15.67,75.47,273,4.78,61.96,2024,28.83,63.17,-0.283,0.245,NA,NA,-0.038,"51"
"1386",2005,"José María Olazábal","43",6,0,70.111,55,14.29,59.15,288.2,4.66,65.41,1753.583,28.49,63.03,0.653,0.487,NA,NA,1.14,"76"
"1387",2006,"José María Olazábal","46",4,0,70.183,62,19.25,59.68,287.2,4.59,65.52,1939.917,29.1,57.78,0.375,0.837,NA,NA,1.102,"36"
"1388",2007,"José María Olazábal","192",1,0,71.521,52,14.36,50.5,276,4.74,54.33,2160.167,28.1,54.99,0.481,-0.945,NA,NA,-0.464,"64"
"1389",2011,"Joseph Bramlett","161",0,0,71.714,73,19.41,59.54,295.6,4.7,65.21,3224.75,29.68,56.51,-0.581,0.111,NA,NA,-0.47,"103"
"1390",2010,"Josh Teater","76",2,0,71.116,101,17.09,63.69,293.1,4.7,68.8,4521.917,29.74,56.83,-0.314,0.206,NA,NA,-0.109,"149"
"1391",2011,"Josh Teater","46",2,0,71.057,104,20.32,61.48,302.3,4.6,66.89,4999.25,29.5,54.45,-0.089,0.174,NA,NA,0.085,"282"
"1392",2012,"Josh Teater","58",4,0,70.953,97,18.18,61.3,298.6,4.61,67.5,4188.833,29.53,56.07,-0.209,0.338,NA,NA,0.128,"268"
"1393",2013,"Josh Teater","72",3,0,70.904,86,17.27,60.77,293.7,4.7,66.53,2856.917,29.46,53.44,0.022,0.316,NA,NA,0.338,"98"
"1394",2014,"Josh Teater","142",0,0,71.301,90,18.15,61.22,294.6,4.68,65.09,3867.417,29.59,57.69,-0.218,0.076,NA,NA,-0.143,"182"
"1395",2017,"Julián Etulain","137",1,0,71.338,68,16,63.34,293.5,4.71,66.75,2802,29.13,58.62,0.078,-0.385,NA,NA,-0.307,"174"
"1396",2005,"Justin Bolli","173",0,0,71.943,65,22.44,59.29,289,4.7,61.02,3539,28.62,55.66,-0.161,-0.496,NA,NA,-0.656,"143"
"1397",2008,"Justin Bolli","171",1,0,72.11,87,18.95,65.74,284.1,4.74,66.88,3607.083,30.11,52.83,-0.372,-0.456,NA,NA,-0.828,"279"
"1398",2010,"Justin Bolli","189",0,0,72.881,55,16.67,66.28,281.8,4.83,64.85,2261.583,30.2,54.52,-0.558,-1.361,NA,NA,-1.918,"141"
"1399",2013,"Justin Bolli","173",2,0,72.034,59,13.97,61.36,279.1,4.84,61.11,2752.5,29.09,57.14,0.038,-1.27,NA,NA,-1.232,"274"
"1400",2011,"Justin Hicks","180",0,0,72.008,60,16.82,69.88,286,4.84,65.71,2389.667,30.63,50.47,-0.955,-0.461,NA,NA,-1.416,"152"
"1401",2013,"Justin Hicks","103",1,0,71.138,79,21.01,69.61,280,4.76,68.59,3355.5,29.89,51.89,-0.219,0.08,NA,NA,-0.139,"246"
"1402",2014,"Justin Hicks","100",3,0,70.836,103,18.5,73.46,285.1,4.71,71.44,4424.167,30.09,54.81,0.069,-0.003,NA,NA,0.066,"250"
"1403",2005,"Justin Leonard","44",4,2,70.168,78,19.02,64.39,285.2,4.68,65.33,2622.75,28.87,59.19,-0.016,0.564,"13","287",0.547,"25"
"1404",2006,"Justin Leonard","121",2,0,70.807,83,18.94,67.24,282.3,4.68,63.36,2676.833,28.87,58.73,-0.051,0.397,"39","295",0.286,"46"
"1405",2007,"Justin Leonard","93",5,1,70.527,95,18.22,70.05,282.7,4.76,64.8,3255.167,29.13,59.97,0.124,0.393,NA,NA,0.517,"83"
"1406",2008,"Justin Leonard","10",8,1,69.772,101,16.8,67.72,281.4,4.64,66.61,2809.667,28.85,60.07,0.463,0.675,"20","291",1.138,"34"
"1407",2009,"Justin Leonard","12",6,0,70.094,95,26.87,68.81,283.5,4.61,67.03,3089.75,28.67,59.81,0.087,0.865,"99","148",0.951,"26"
"1408",2010,"Justin Leonard","94",1,0,70.419,89,20.53,69.46,277.8,4.71,65.09,3239.417,29.02,57.32,0.181,0.356,"99","150",0.539,"66"
"1409",2011,"Justin Leonard","154",1,0,71.002,82,15.77,65.29,280.1,4.68,64.91,3147.167,29.23,61.97,-0.11,0.011,NA,NA,-0.099,"144"
"1410",2012,"Justin Leonard","189",2,0,71.583,79,14.75,60.34,279.4,4.75,60.44,3307.833,28.93,59.18,-0.325,-0.29,NA,NA,-0.615,"208"
"1411",2013,"Justin Leonard","91",1,0,70.863,86,23.14,64.36,276.3,4.67,63.11,3187.167,28.38,59.02,0.348,-0.233,NA,NA,0.115,"232"
"1412",2014,"Justin Leonard","129",2,0,70.895,75,16.36,65.04,270.3,4.71,57.78,2880.167,27.77,64.56,0.496,-0.677,NA,NA,-0.181,"156"
"1413",2015,"Justin Leonard","163",0,0,71.517,61,18.67,71.7,271.6,4.72,62.57,2451.25,28.82,61.8,0.231,-0.544,NA,NA,-0.313,"76"
"1414",2005,"Justin Rose","28",3,0,70.514,99,19.41,63.67,294.1,4.66,68.07,4112.333,29.13,61.72,-0.245,0.964,NA,NA,0.719,"85"
"1415",2006,"Justin Rose","20",5,0,70.401,98,21.31,64,291.4,4.63,67.89,3682.5,29,58.29,-0.021,0.746,NA,NA,0.697,"93"
"1416",2007,"Justin Rose","2",7,0,69.301,63,21.95,63.93,288.7,4.6,65.73,1857.5,28.93,59.89,0.061,0.816,"5","292",0.878,"34"
"1417",2009,"Justin Rose","32",2,0,70.389,71,20.3,64.8,288.1,4.67,65.95,2617.583,29.14,58.51,0.111,0.395,"20","286",0.506,"24"
"1418",2010,"Justin Rose","32",4,2,69.885,78,22.28,65.17,287.8,4.63,66.31,2883.333,28.64,63.85,0.243,0.952,NA,NA,1.195,"63"
"1419",2011,"Justin Rose","13",5,1,70.332,79,22.55,63.27,290.6,4.62,69.48,2927,29.64,57.92,0.047,0.937,"11","283",0.984,"26"
"1420",2012,"Justin Rose","6",8,1,69.549,69,15.95,65.82,290.9,4.66,70.34,2189.167,29.41,61.98,-0.122,1.762,"8","284",1.64,"9"
"1421",2013,"Justin Rose","6",7,1,69.225,62,22.82,63.57,296.6,4.6,68.89,1926.5,29.3,60.71,-0.188,1.912,"25","290",1.723,"3"
"1422",2014,"Justin Rose","6",8,1,69.624,70,25.14,59.92,295.1,4.59,66.91,2211.333,28.85,61.23,-0.04,1.506,"14","289",1.466,"6"
"1423",2015,"Justin Rose","5",8,1,69.744,69,22.78,63.87,303.5,4.54,70.54,2179.917,29.17,59.14,0.023,1.471,"2","274",1.493,"11"
"1424",2016,"Justin Rose","8",5,0,70.148,65,19.05,57.9,303.9,4.59,67.92,2674.417,29.58,58.1,-0.197,1.325,"10","289",1.128,"8"
"1425",2017,"Justin Rose","11",8,0,69.699,66,27.91,58.48,300.4,4.58,68.19,2512.5,29.15,59.44,-0.062,1.331,"2","279",1.268,"14"
"1426",2018,"Justin Rose","5",11,2,68.993,70,27.4,66.02,303.5,4.53,69.95,2431.083,28.67,63.03,0.424,1.527,"12","282",1.952,"5"
"1427",2015,"Justin Thomas","7",7,0,70.105,106,21.79,58.24,303.2,4.49,68.92,4137.833,28.64,61.55,0.042,0.926,NA,NA,0.968,"88"
"1428",2016,"Justin Thomas","39",7,1,70.571,99,21.25,53.94,301.3,4.59,65.63,3908.25,29.28,55.56,-0.185,0.506,"39","298",0.32,"33"
"1429",2017,"Justin Thomas","5",12,5,69.359,86,24,54.09,309.3,4.6,67.33,3002,28.29,60.54,0.308,1.417,"22","290",1.724,"7"
"1430",2018,"Justin Thomas","3",10,3,69.118,91,26.67,58.41,311.8,4.49,68.77,3087.083,28.33,62.47,0.272,1.563,"17","284",1.835,"2"
"1431",2005,"K.J. Choi","65",3,1,70.439,78,21.33,64.98,288.8,4.66,64.16,2791.083,28.99,58.17,0.183,0.416,"33","294",0.599,"90"
"1432",2006,"K.J. Choi","48",4,1,70.213,93,17.01,65.03,287,4.7,68.12,4070.417,29.51,58.9,0.255,0.624,"99","152",0.849,"20"
"1433",2007,"K.J. Choi","31",7,2,69.611,87,17.14,64.71,284.1,4.63,65.29,3170.167,28.84,62.34,0.518,0.874,"27","300",1.392,"163"
"1434",2008,"K.J. Choi","94",5,1,70.259,74,16.58,61.38,286.1,4.74,65.48,2408.75,29.27,57.24,0.491,0.394,"41","298",0.885,"7"
"1435",2009,"K.J. Choi","150",1,0,71.205,65,16,67.67,280.1,4.71,66.06,2297.417,29.63,56.01,-0.051,0.214,"99","148",0.163,"21"
"1436",2010,"K.J. Choi","20",4,0,70.099,82,19.5,65.99,283.1,4.65,68.52,2463.083,29.23,62.67,0.054,0.927,"4","277",0.984,"45"
"1437",2011,"K.J. Choi","70",8,1,69.993,77,24.14,61.99,285.6,4.67,65.93,2781.083,29.17,60.87,0.163,0.915,"8","280",1.079,"44"
"1438",2012,"K.J. Choi","133",2,0,70.886,71,17.62,64.08,282.3,4.67,63.57,2877.583,29.3,54.68,-0.344,0.599,"99","153",0.255,"23"
"1439",2013,"K.J. Choi","76",2,0,70.322,85,17.89,66.04,278.3,4.68,65.87,2789,29.12,62.98,0.337,0.508,"46","293",0.845,"83"
"1440",2014,"K.J. Choi","83",2,0,70.87,80,19.59,64.22,279.8,4.68,62.08,3363.417,28.81,56.78,0.332,-0.039,"34","294",0.293,"99"
"1441",2015,"K.J. Choi","142",0,0,71.372,66,16.05,64.09,276.5,4.72,63.8,2734.333,28.71,63.12,0.415,-0.159,NA,NA,0.256,"132"
"1442",2016,"K.J. Choi","89",2,0,71.093,73,17.55,66.18,275.3,4.72,65.37,3277.5,28.84,61.54,0.352,-0.174,NA,NA,0.178,"97"
"1443",2017,"K.J. Choi","171",0,0,71.618,72,19.02,66.23,282.2,4.67,63.05,2806.917,28.97,60.36,0.176,-0.439,NA,NA,-0.264,"193"
"1444",2011,"Keegan Bradley","34",4,2,70.257,91,19.32,61.5,300.7,4.63,65.9,4457.583,29.26,56.18,0.007,0.272,NA,NA,0.279,"207"
"1445",2012,"Keegan Bradley","1",5,1,69.984,90,26.09,61.65,302.7,4.56,66.54,3765.25,28.88,57.55,0.33,0.791,"27","290",1.122,"19"
"1446",2013,"Keegan Bradley","4",7,0,69.724,88,22.27,62.82,300.6,4.51,66.54,3543.25,28.94,60.88,0.25,1.153,"54","297",1.403,"11"
"1447",2014,"Keegan Bradley","18",6,0,70.031,89,18.6,62.36,302.2,4.69,66.67,3287.833,28.88,62.31,0.254,0.74,"99","153",0.994,"18"
"1448",2015,"Keegan Bradley","38",3,0,70.45,87,23.21,64.85,306.1,4.58,67.53,3396.667,29.49,58.25,-0.07,1.088,"22","286",1.018,"37"
"1449",2016,"Keegan Bradley","76",2,0,70.741,82,15.91,64.57,300,4.65,69.58,2786.75,30.11,54.57,-0.631,0.929,"52","301",0.298,"98"
"1450",2017,"Keegan Bradley","16",5,0,70.437,104,20.74,66.23,299.4,4.71,68.93,4470.833,29.36,59.49,-0.163,0.792,NA,NA,0.629,"97"
"1451",2018,"Keegan Bradley","31",5,1,70.303,98,19.92,67.9,299.6,4.57,69.18,4073.417,29.68,56.78,-0.358,1.151,NA,NA,0.793,"71"
"1452",2018,"Keith Mitchell","53",4,0,70.92,99,21.93,58.59,312.6,4.56,69.42,4339.167,29.65,56.55,-0.504,0.486,NA,NA,-0.018,"180"
"1453",2016,"Kelly Kraft","78",1,0,71.333,63,18.75,60.36,289.8,4.67,67.42,2305.417,29.17,56.07,0.185,-0.146,NA,NA,0.039,"61"
"1454",2017,"Kelly Kraft","174",3,0,71.491,75,22.59,60.06,291.9,4.77,63.15,4313.25,29.32,53.5,-0.157,-0.524,NA,NA,-0.681,"178"
"1455",2018,"Kelly Kraft","169",3,0,71.333,94,15.53,65.84,288.6,4.74,63.83,4009.667,28.92,58.93,0.075,-0.395,NA,NA,-0.32,"157"
"1456",2007,"Ken Duke","21",5,0,70.628,112,15.73,67.5,288.4,4.73,65.58,4715.667,29.01,60.95,0.1,0.439,NA,NA,0.539,"63"
