"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","masters_finish","total_score","sg_total","wgr"
"2116",2006,"Ryan Moore","74",4,0,71.011,68,20.32,66.96,292.2,4.62,63.25,3361.333,28.69,59.77,0.297,-0.083,NA,NA,0.074,"154"
"2117",2007,"Ryan Moore","46",3,0,70.7,92,19.71,64,290.7,4.65,65.64,4114.417,29.15,57.82,0.133,0.355,NA,NA,0.488,"82"
"2118",2008,"Ryan Moore","128",3,0,71.249,72,21.82,65.74,292.7,4.73,61.73,4083.583,28.74,59.07,0.21,-0.271,NA,NA,-0.061,"100"
"2119",2009,"Ryan Moore","53",6,1,70.598,89,21.3,65.46,295.9,4.66,66.14,3931.917,28.78,61.2,0.347,0.097,NA,NA,0.444,"169"
"2120",2010,"Ryan Moore","49",6,0,70.623,80,22.33,67.99,289.7,4.63,66.67,3048.833,29.05,60.76,0.299,0.385,"14","286",0.687,"59"
"2121",2011,"Ryan Moore","94",4,0,70.345,79,21.46,63.1,290.1,4.71,62.89,3222.917,28.47,60.08,0.55,0.278,"35","288",0.827,"40"
"2122",2012,"Ryan Moore","7",8,1,70.3,89,20.23,65.75,287.6,4.73,66.35,4314.417,28.87,56.77,0.424,0.424,NA,NA,0.847,"70"
"2123",2013,"Ryan Moore","78",3,0,70.825,72,21.56,68.44,282.3,4.66,64.32,2970.083,29.18,57.68,-0.028,0.377,"38","292",0.35,"44"
"2124",2014,"Ryan Moore","13",7,1,70.344,86,19.13,69.92,284.7,4.68,67.99,3074.833,29.05,57.64,0.042,0.794,"99","149",0.836,"33"
"2125",2015,"Ryan Moore","33",4,1,70.829,81,19.19,70.05,282.6,4.64,65.24,3059.667,28.51,60.25,0.16,0.418,"12","282",0.578,"27"
"2126",2016,"Ryan Moore","41",9,1,70.317,86,20.79,66.52,283.2,4.71,65.78,3091.417,28.58,60.12,0.351,0.544,"99","155",0.895,"39"
"2127",2017,"Ryan Moore","74",2,0,70.741,82,19.82,67.9,288,4.61,65.05,3445.583,29.04,56.74,-0.017,0.319,"9","286",0.301,"38"
"2128",2018,"Ryan Moore","77",5,0,70.015,78,22.91,71.94,289.2,4.62,68.8,2926.75,29.17,64.16,-0.271,1.211,"28","288",0.941,"66"
"2129",2005,"Ryan Palmer","47",3,0,71.265,101,23.02,59.94,295,4.65,65.41,4840.083,29.09,54.3,0.149,-0.345,"39","295",-0.196,"101"
"2130",2006,"Ryan Palmer","90",4,0,71.008,101,20.27,62.03,295.8,4.68,64.2,5064.833,28.8,58.78,0.081,-0.083,NA,NA,-0.109,"76"
"2131",2007,"Ryan Palmer","137",1,0,71.68,91,17.92,57.92,294.9,4.73,63.8,4535.917,29.19,55.31,0.102,-0.296,NA,NA,-0.194,"196"
"2132",2008,"Ryan Palmer","30",3,1,70.616,69,20.69,62.94,294.2,4.64,66.75,3309.5,28.92,55.7,0.43,0.28,NA,NA,0.709,"40"
"2133",2009,"Ryan Palmer","96",1,0,71.491,78,20.26,61.23,297.1,4.72,65.38,3985.083,28.99,56.17,0.188,-0.561,NA,NA,-0.373,"225"
"2134",2010,"Ryan Palmer","43",5,1,70.824,84,17.89,57.23,295.8,4.72,65.48,4021.25,28.77,55.56,0.433,-0.139,"99","149",0.294,"102"
"2135",2011,"Ryan Palmer","111",3,0,70.847,82,22.22,53.76,299.5,4.63,63.75,3200,28.7,59.96,-0.047,-0.078,"10","282",-0.125,"61"
"2136",2012,"Ryan Palmer","56",4,0,70.252,81,24.57,57.95,303.1,4.67,65.16,4058,28.74,58.27,0.453,0.55,"99","152",1.003,"88"
"2137",2013,"Ryan Palmer","41",4,0,70.167,79,23.04,57.69,301.5,4.6,66.24,3417.417,28.84,55.63,0.333,0.55,NA,NA,0.883,"107"
"2138",2014,"Ryan Palmer","5",8,0,69.993,85,23.33,58.55,300.4,4.65,66.67,3692.083,28.73,58.24,0.295,0.971,NA,NA,1.265,"62"
"2139",2015,"Ryan Palmer","37",5,0,70.102,80,22.49,56.57,305.2,4.67,66.81,2576.333,29,60.57,0.147,0.813,"33","288",0.96,"25"
"2140",2016,"Ryan Palmer","7",3,0,70.229,86,24.11,57.88,304.7,4.54,67.83,4000.333,28.92,57.63,-0.094,0.868,NA,NA,0.774,"73"
"2141",2017,"Ryan Palmer","165",3,0,71.116,61,14.56,56.94,303.1,4.69,65.9,2272.417,30.08,57.83,-1.112,0.985,NA,NA,-0.127,"95"
"2142",2018,"Ryan Palmer","51",3,0,71.031,69,23.96,59.11,305.2,4.57,65.61,3246.667,28.92,55.38,-0.528,0.297,NA,NA,-0.231,"109"
"2143",2012,"Ryo Ishikawa","157",2,0,70.854,54,14.77,53.28,290,4.63,59.61,2086.25,29.44,54.44,0.196,-0.234,"99","153",-0.038,"53"
"2144",2013,"Ryo Ishikawa","150",1,0,71.515,72,19.09,55.48,291.3,4.78,66.03,2798.833,29.81,53.27,-0.683,0.136,"38","292",-0.547,"114"
"2145",2014,"Ryo Ishikawa","59",3,0,70.98,75,23.47,53.26,291,4.61,64.96,2923.083,28.79,54.55,0.092,0.231,NA,NA,0.323,"77"
"2146",2015,"Ryo Ishikawa","78",2,0,71.246,90,24.25,56.39,289.2,4.67,66.41,3580.833,28.95,55.45,-0.103,0.052,NA,NA,-0.051,"138"
"2147",2017,"Ryo Ishikawa","186",1,0,71.99,56,16.36,51.92,288.8,4.79,63.29,2519,28.86,57.84,-0.204,-0.928,NA,NA,-1.132,"118"
"2148",2005,"Ryuji Imada","98",1,0,71.1,78,18.81,57.61,290.1,4.67,64.1,3477.667,28.71,60.71,-0.308,0.303,NA,NA,-0.004,"104"
"2149",2006,"Ryuji Imada","99",1,0,70.781,105,22.34,58.62,284.9,4.67,64.81,4393.25,28.87,60.68,0.032,0.251,NA,NA,0.151,"165="
"2150",2007,"Ryuji Imada","77",2,0,70.952,104,19.48,58.77,282.6,4.67,62.72,4726.083,28.53,59.61,0.474,-0.214,NA,NA,0.26,"181"
"2151",2008,"Ryuji Imada","124",5,1,70.557,80,17.62,59.64,278.6,4.65,61.39,3291.417,28.43,60.07,0.469,0.175,NA,NA,0.644,"65"
"2152",2009,"Ryuji Imada","156",0,0,71.107,85,21.95,61.62,278.4,4.7,61.44,3769.583,28.41,60.68,0.442,-0.457,"20","286",-0.015,"69"
"2153",2010,"Ryuji Imada","117",4,0,70.753,90,20.78,63.11,278.7,4.68,64.51,4067.5,28.4,63.13,0.551,-0.265,NA,NA,0.286,"138"
"2154",2011,"Ryuji Imada","151",2,0,71.115,83,20.33,60.36,283.4,4.73,64.26,3869.417,29.01,58.8,-0.157,0.04,NA,NA,-0.117,"199"
"2155",2012,"Ryuji Imada","182",1,0,71.978,78,16.87,56.13,276.4,4.8,60.6,3693.25,28.68,58.26,0.351,-1.262,NA,NA,-0.91,"276"
"2156",2018,"Sam Ryder","60",3,0,70.914,82,21.61,66.91,297.3,4.63,72.08,3264.083,29.88,56.47,-0.349,0.503,NA,NA,0.154,"226"
"2157",2015,"Sam Saunders","123",1,0,71.668,83,21.07,64,293.2,4.64,65.23,3555.833,29.37,57.79,-0.136,-0.36,NA,NA,-0.496,"300"
"2158",2016,"Sam Saunders","145",2,0,71.427,69,21.89,59.78,291.8,4.71,64.36,2731.583,29.18,56.59,0.06,-0.293,NA,NA,-0.232,"256"
"2159",2017,"Sam Saunders","47",2,0,70.921,76,24.1,64.69,293.6,4.67,65.24,3329.25,28.63,58.45,0.138,-0.068,NA,NA,0.071,"135"
"2160",2018,"Sam Saunders","49",4,0,70.794,80,20.37,60.14,302.8,4.58,65.02,3866.167,28.73,55.79,0.094,0.132,NA,NA,0.226,"202"
"2161",2012,"Sangmoon Bae","136",2,0,71.629,81,21.25,58.08,289.8,4.72,59.81,3833.833,28.77,50.99,0.128,-1.181,"37","292",-1.053,"171"
"2162",2013,"Sangmoon Bae","95",2,1,71.111,83,19.51,58.39,285.3,4.75,63.72,3784.5,28.8,51.85,0.371,-0.488,NA,NA,-0.116,"176"
